CRN,SPEED_LIMIT,RDWY_COUNTY
2002052207,35.0,67
2002052207,25.0,67
2002052207,35.0,67
2002053209,25.0,36
2003025900,25.0,2
2003025900,25.0,2
2003026092,,67
2003026092,25.0,67
2005122681,35.0,67
2005122681,35.0,67
2003041560,35.0,23
2005163391,25.0,25
2003024734,,67
2003024734,25.0,67
2003056490,25.0,67
2003056490,,67
2003010307,25.0,46
2002206638,35.0,6
2002218852,40.0,66
2002059576,35.0,22
2002213026,35.0,46
2002213026,25.0,46
2003019870,25.0,67
2003019870,25.0,67
2002211268,25.0,36
2002211268,55.0,36
2003034231,,67
2003034231,,67
2005126895,25.0,67
2003050214,25.0,67
2003050214,,67
2002230764,55.0,6
2002230764,55.0,6
2002230764,25.0,6
2002230764,55.0,6
2002230764,55.0,6
2002230764,25.0,6
2002230764,25.0,6
2003023352,25.0,67
2003023352,35.0,67
2003039081,40.0,45
2002235144,25.0,46
2002235144,25.0,46
2002235144,25.0,46
2003056836,30.0,67
2003056836,,67
2003056836,,67
2003047976,35.0,66
2003047976,35.0,66
2002237443,35.0,15
2003058291,45.0,22
2003058291,30.0,22
2002202702,,15
2002202702,35.0,15
2003043601,15.0,67
2002217819,25.0,46
2002217819,25.0,46
2002217514,35.0,2
2002217514,35.0,2
2003004858,25.0,1
2002226903,25.0,66
2002226903,25.0,66
2002225487,25.0,53
2002225487,25.0,53
2002206513,25.0,66
2002206513,25.0,66
2003016992,35.0,67
2003016992,35.0,67
2003030870,,67
2002216144,25.0,66
2002216144,25.0,66
2002230505,25.0,6
2002230505,25.0,6
2003022881,25.0,46
2003016098,25.0,22
2002230499,25.0,6
2002230499,25.0,6
2003011575,25.0,48
2003011575,25.0,48
2003033464,35.0,67
2003033464,25.0,67
2003043490,30.0,67
2002222387,40.0,4
2002222387,25.0,4
2003073163,25.0,49
2003073163,25.0,49
2003054917,,46
2003054917,25.0,46
2002234252,25.0,66
2003066369,35.0,40
2003034686,,67
2003034686,,67
2005122908,35.0,67
2005100938,,67
2002222801,25.0,38
2002222801,25.0,38
2002236537,45.0,46
2002219081,35.0,66
2002219081,35.0,66
2003042338,35.0,46
2003042338,35.0,46
2003042338,25.0,46
2002220319,25.0,38
2002220319,25.0,38
2005195419,25.0,2
2005195419,25.0,2
2003035742,25.0,43
2003035742,25.0,43
2002055601,55.0,41
2002220518,25.0,66
2005075807,,15
2005075807,45.0,15
2003035500,25.0,7
2003035500,25.0,7
2002230314,50.0,9
2002230314,25.0,9
2003025902,25.0,2
2003025902,25.0,2
2003015881,25.0,35
2003015881,25.0,35
2002216675,25.0,23
2005116549,,40
2005116549,,40
2003005199,25.0,39
2003005199,25.0,39
2003017796,25.0,15
2003017796,,15
2002061841,40.0,15
2002061841,,15
2003045297,35.0,64
2003021235,35.0,39
2003021235,35.0,39
2005122977,25.0,36
2002216093,25.0,11
2003045191,35.0,37
2002222224,25.0,31
2002222224,25.0,31
2002221228,25.0,46
2002061985,35.0,36
2003047287,35.0,66
2005178132,35.0,17
2005178132,35.0,17
2003038683,30.0,67
2003038683,25.0,67
2002212333,25.0,46
2002212333,25.0,46
2002234314,25.0,43
2002234314,25.0,43
2003034972,,67
2003034972,35.0,67
2003022939,25.0,67
2003033787,,67
2003033787,15.0,67
2002229871,,66
2002229871,25.0,66
2002212004,35.0,48
2002212004,35.0,48
2003042440,55.0,53
2003042440,55.0,53
2003042195,,67
2003047675,,67
2003047675,,67
2003024928,30.0,67
2003024928,25.0,67
2002209840,25.0,60
2002209840,25.0,60
2002244833,35.0,46
2002244833,25.0,46
2006072203,25.0,67
2006072203,25.0,67
2002216342,25.0,23
2002216342,35.0,23
2002238999,35.0,40
2002238999,35.0,40
2003040274,,67
2003040274,,67
2003040274,,67
2003040274,,67
2003022508,25.0,67
2003022508,25.0,67
2005109985,,67
2003035129,,67
2003035129,,67
2003016397,40.0,67
2003016397,,67
2005112197,25.0,67
2005112197,25.0,67
2002053885,35.0,67
2005180343,35.0,67
2005180343,35.0,67
2005180343,35.0,67
2003030276,,67
2003030276,,67
2003057729,,67
2003057729,35.0,67
2005171277,,67
2005171277,,67
2002221461,35.0,37
2002221461,25.0,37
2003028445,,67
2002230471,25.0,6
2002230471,25.0,6
2003022931,25.0,67
2003022931,25.0,67
2002056410,25.0,40
2002056410,25.0,40
2002216850,25.0,15
