CRN,GRADE,IMPACT_POINT,RDWY_ALIGNMENT,UNIT_NUM,VEH_MOVEMENT,VEH_POSITION,VEH_ROLE,VEH_TYPE,PC_HDLGHT_IND,PC_HLMT_IND,PC_REAR_RFLTR_IND
2004031217,1.0,99.0,1.0,2,1.0,1.0,2.0,20.0,U,N,U
2003024745,9.0,99.0,9.0,2,99.0,99.0,2.0,20.0,U,U,U
2003050343,1.0,5.0,1.0,2,1.0,98.0,2.0,20.0,U,U,U
2003022408,1.0,12.0,1.0,2,1.0,7.0,2.0,20.0,U,U,U
2003042196,9.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2003056659,3.0,12.0,1.0,1,1.0,6.0,1.0,20.0,U,U,U
2003033404,1.0,3.0,1.0,2,1.0,0.0,2.0,20.0,U,U,U
2003016875,1.0,11.0,1.0,1,1.0,9.0,1.0,20.0,N,N,U
2002207306,9.0,12.0,9.0,2,10.0,1.0,2.0,20.0,U,U,U
2003047728,1.0,1.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2003034689,1.0,10.0,2.0,2,10.0,99.0,2.0,20.0,U,U,U
2003022891,1.0,12.0,1.0,1,1.0,98.0,2.0,20.0,U,U,U
2002054052,2.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2003056698,9.0,99.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2003029647,1.0,3.0,1.0,2,1.0,8.0,2.0,20.0,U,U,U
2003019930,1.0,3.0,1.0,2,1.0,0.0,2.0,20.0,U,U,U
2003041549,9.0,99.0,1.0,2,1.0,99.0,1.0,20.0,U,U,U
2003035345,1.0,99.0,1.0,2,99.0,99.0,2.0,20.0,U,U,U
2003032940,1.0,12.0,1.0,1,1.0,99.0,1.0,20.0,U,U,U
2002223744,9.0,12.0,1.0,1,1.0,1.0,1.0,20.0,U,U,U
2003035226,9.0,99.0,1.0,2,1.0,98.0,2.0,20.0,U,U,U
2003042897,9.0,99.0,9.0,2,99.0,99.0,2.0,20.0,U,U,U
