,CRN,RDWY_SEQ_NUM,ADJ_RDWY_SEQ,ROUTE,SEGMENT,OFFSET,RDWY_ORIENT,LANE_COUNT,SPEED_LIMIT,STREET_NAME,ROAD_OWNER,ACCESS_CTRL,RDWY_COUNTY
7290,2005061607,4,4,,,,N,2.0,25.0,FIFTYFOURTH ST,4.0,,67
7291,2004090558,3,4,,,0.0,W,1.0,,REED ST,4.0,,67
7292,2004090558,4,3,,,0.0,S,1.0,,POINT BREEZE AV,4.0,,67
7293,2004205384,4,3,,,0.0,N,99.0,25.0,MOSS ST,4.0,,6
7294,2004205384,3,4,,,0.0,E,99.0,35.0,OLEY ST,4.0,,6
7295,2004088200,3,3,,,,N,2.0,,TWENTYTHIRD ST,4.0,,67
7296,2004090676,3,3,,,,E,2.0,,UPLAND ST,4.0,,67
7297,2004219699,3,3,,,0.0,U,99.0,,CROSKEY ST,4.0,,67
7298,2005002322,4,3,,,0.0,N,1.0,,WALLACE ST,4.0,,25
7299,2005002322,3,4,,,0.0,E,1.0,,TWENTYFIFTH ST,4.0,,25
7300,2004101503,3,3,0837,540.0,1215.0,N,2.0,25.0,EAST CARSON ST,2.0,3.0,2
7301,2004101503,4,4,,,,E,2.0,,TWELFTH ST,4.0,,2
7302,2004080841,4,3,,,0.0,N,99.0,,FORTYSEVENTH ST,4.0,,67
7303,2004080841,3,4,,,0.0,E,99.0,,SPRINGFIELD AV,4.0,,67
7304,2005073284,3,3,,,0.0,W,1.0,,OAKFORD ST,4.0,,67
7305,2005032387,3,3,,,0.0,N,1.0,,PARK AV,4.0,,67
7306,2005088262,3,4,,,0.0,W,2.0,25.0,UNION ST,4.0,,33
7307,2005088262,4,3,,,0.0,N,2.0,25.0,JEFFERSON ST,4.0,,33
7308,2005038459,3,3,,,,W,2.0,25.0,CALLOWHILL ST,4.0,,67
7309,2004087649,3,3,,,0.0,W,2.0,,LINDLEY AV,4.0,,67
7310,2005062598,3,3,4007,20.0,630.0,N,2.0,25.0,WAYNE AV,2.0,3.0,67
7311,2005062598,4,4,4009,40.0,0.0,W,2.0,35.0,BERKLEY ST,2.0,3.0,67
7312,2004089456,3,4,,,0.0,S,2.0,,SECOND ST,4.0,,67
7313,2004089456,4,3,,,0.0,W,1.0,,INDIANA ST,4.0,,67
7314,2004088077,3,3,,,,W,2.0,,POPLAR ST,4.0,,67
7315,2005036848,4,4,3005,141.0,1092.0,S,2.0,35.0,BELMONT AV,2.0,3.0,67
7316,2005036848,3,3,3005,140.0,1092.0,N,2.0,35.0,BELMONT AV,2.0,3.0,67
7317,2005054512,3,4,,,0.0,S,2.0,25.0,ANDREWS AV,4.0,,67
7318,2005054512,4,3,,,0.0,E,1.0,25.0,STERLING ST,4.0,,67
7319,2004088640,3,4,,,0.0,E,99.0,,CHELTEN AV,4.0,,67
7320,2004088640,4,3,,,,S,99.0,,BLAKEMORE ST,4.0,,67
7321,2005026447,3,3,,,0.0,W,2.0,,RICHBORO PL,9.0,,9
