,CRN,ARRIVAL_TM,DISPATCH_TM,COUNTY,MUNICIPALITY,DEC_LAT,DEC_LONG,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,HEAVY_TRUCK_COUNT,SMALL_TRUCK_COUNT,SUV_COUNT,COLLISION_TYPE,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,HOUR_OF_DAY,ILLUMINATION,LOCATION_TYPE,ROAD_CONDITION,URBAN_RURAL,INTERSECT_TYPE,WEATHER1,WEATHER2,TCD_TYPE,TCD_FUNC_CD,AGGRESSIVE_DRIVING,ALCOHOL_RELATED,ANGLE_CRASH,CELL_PHONE,COMM_VEHICLE,DISTRACTED,DRINKING_DRIVER,DRUGGED_DRIVER,FATIGUE_ASLEEP,IMPAIRED_DRIVER,NHTSA_AGG_DRIVING,RUNNING_RED_LT,RUNNING_STOP_SIGN,SPEEDING_RELATED,TAILGATING,MATURE_DRIVER,YOUNG_DRIVER
43,2002053523,1939.0,1939.0,39,39301,40.6161,-75.4609,0,0,0,0,0,0,5,1,2002,3,15.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2002053590,1758.0,1758.0,21,21208,40.2238,-77.1825,0,0,0,0,0,0,4,1,2002,6,17.0,2.0,0,1.0,1,3,3,  ,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2002053710,1551.0,1552.0,25,25210,42.1561,-79.9931,0,0,0,0,0,0,4,4,2002,6,15.0,1.0,0,1.0,1,1,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,2002053810,1611.0,1611.0,2,2108,40.5872,-79.9994,0,1,0,0,0,0,4,2,2002,7,16.0,1.0,0,1.0,3,5,98,  ,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2002053885,2010.0,2004.0,67,67301,39.9564,-75.2086,0,0,0,0,0,0,1,1,2002,5,19.0,3.0,0,1.0,3,0,99,  ,2,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2002053895,1306.0,1306.0,67,67301,40.0274,-75.2265,0,0,0,0,0,0,4,2,2002,5,13.0,1.0,1,1.0,3,2,3,  ,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2002053918,1632.0,1632.0,67,67301,40.0869,-74.972,0,0,0,0,0,0,6,2,2002,7,16.0,1.0,0,1.0,3,1,3,  ,2,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,2002053972,1643.0,1641.0,67,67301,40.1268,-75.0142,0,1,0,0,0,0,4,1,2002,4,16.0,4.0,0,9.0,3,2,7,05,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2002054038,1845.0,1845.0,67,67301,39.9893,-75.1155,0,0,0,0,1,0,3,1,2002,7,18.0,4.0,0,6.0,3,1,3,  ,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2002054052,1243.0,1232.0,67,67301,40.0091,-75.1499,0,0,0,0,0,0,4,1,2002,7,12.0,1.0,0,1.0,3,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2002054156,1118.0,1116.0,67,67301,40.0217,-75.1127,0,0,0,0,0,0,7,2,2002,2,9.0,1.0,7,1.0,3,10,3,  ,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,2002054257,1704.0,1701.0,20,20301,41.6393,-80.1522,0,0,0,0,0,0,4,1,2002,6,17.0,1.0,0,9.0,2,1,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2002054549,1811.0,1806.0,67,67301,40.078,-75.0862,0,0,0,0,0,0,4,1,2002,2,17.0,3.0,0,1.0,3,2,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,2002055193,1419.0,1415.0,40,40211,41.1139,-75.852,0,0,0,0,0,0,4,2,2002,3,14.0,1.0,0,1.0,1,0,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2002055254,2320.0,2315.0,35,35302,41.4076,-75.6632,0,0,0,0,0,0,1,2,2002,6,6.0,3.0,0,1.0,3,0,3,  ,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2002055429,1251.0,1249.0,15,15403,40.0,-75.7186,0,0,0,0,0,0,5,2,2002,2,12.0,1.0,0,9.0,3,2,10,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2002055601,1738.0,1736.0,41,41402,41.2424,-76.7231,0,0,0,0,0,0,8,2,2002,2,17.0,1.0,0,1.0,1,0,3,  ,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2002055766,1124.0,1121.0,67,67301,39.9514,-75.1553,0,0,1,0,0,0,5,2,2002,5,11.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
